time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask,volume
2026-07-03 07:09:00,7499.5,7499.7,7498.6,7499.0,7500.1,7500.3,7499.2,7499.6,28
2026-07-03 07:10:00,7499.1,7499.8,7498.9,7499.5,7499.7,7500.4,7499.5,7500.1,46
2026-07-03 07:11:00,7499.2,7499.7,7499.0,7499.1,7499.8,7500.3,7499.6,7499.7,59
2026-07-03 07:12:00,7499.0,7500.4,7498.7,7500.2,7499.6,7501.0,7499.3,7500.8,60
2026-07-03 07:13:00,7500.4,7500.6,7499.6,7499.8,7501.0,7501.2,7500.2,7500.4,48
2026-07-03 07:14:00,7499.6,7500.1,7499.3,7499.4,7500.2,7500.7,7499.9,7500.0,40
2026-07-03 07:15:00,7499.3,7499.5,7498.4,7499.4,7499.9,7500.1,7499.0,7500.0,30
2026-07-03 07:16:00,7499.1,7499.4,7498.6,7499.4,7499.7,7500.0,7499.2,7500.0,19
2026-07-03 07:17:00,7499.3,7499.4,7498.7,7498.7,7499.9,7500.0,7499.3,7499.3,24
2026-07-03 07:18:00,7498.6,7499.3,7498.6,7498.9,7499.2,7499.9,7499.2,7499.5,21
2026-07-03 07:19:00,7498.7,7499.3,7498.6,7498.9,7499.3,7499.9,7499.2,7499.5,51
2026-07-03 07:20:00,7498.7,7498.7,7497.7,7498.2,7499.3,7499.3,7498.3,7498.8,30
2026-07-03 07:21:00,7498.0,7498.3,7497.7,7498.2,7498.6,7498.9,7498.3,7498.8,37
2026-07-03 07:22:00,7498.4,7498.4,7497.1,7497.4,7499.0,7499.0,7497.7,7498.0,32
2026-07-03 07:23:00,7497.1,7498.1,7496.9,7497.5,7497.7,7498.7,7497.5,7498.1,45
2026-07-03 07:24:00,7497.4,7498.1,7497.4,7498.1,7498.0,7498.7,7498.0,7498.7,41
2026-07-03 07:25:00,7498.4,7498.6,7497.9,7498.1,7499.0,7499.2,7498.5,7498.7,32
2026-07-03 07:26:00,7498.2,7499.6,7498.1,7499.1,7498.8,7500.2,7498.7,7499.7,43
2026-07-03 07:27:00,7499.4,7499.7,7498.8,7499.1,7500.0,7500.3,7499.4,7499.7,50
2026-07-03 07:28:00,7498.9,7499.8,7498.6,7499.3,7499.5,7500.4,7499.2,7499.9,31
2026-07-03 07:29:00,7499.4,7499.8,7499.2,7499.5,7500.0,7500.4,7499.8,7500.1,37
2026-07-03 07:30:00,7499.4,7500.5,7498.7,7500.4,7500.0,7501.1,7499.3,7501.0,44
2026-07-03 07:31:00,7500.5,7501.1,7500.4,7500.4,7501.1,7501.7,7501.0,7501.0,36
2026-07-03 07:32:00,7500.5,7501.0,7499.9,7500.0,7501.1,7501.6,7500.5,7500.6,40
2026-07-03 07:33:00,7500.1,7501.0,7499.9,7500.2,7500.7,7501.6,7500.5,7500.8,56
2026-07-03 07:34:00,7500.4,7501.8,7500.2,7501.6,7501.0,7502.4,7500.8,7502.2,33
2026-07-03 07:35:00,7501.7,7502.2,7501.4,7501.8,7502.3,7502.8,7502.0,7502.4,26
2026-07-03 07:36:00,7501.7,7501.7,7501.0,7501.0,7502.3,7502.3,7501.6,7501.6,46
2026-07-03 07:37:00,7500.8,7502.6,7500.0,7502.5,7501.4,7503.2,7500.6,7503.1,48
2026-07-03 07:38:00,7502.6,7502.6,7501.0,7501.3,7503.2,7503.2,7501.6,7501.9,41
2026-07-03 07:39:00,7501.1,7501.3,7500.1,7500.3,7501.7,7501.9,7500.7,7500.9,32
2026-07-03 07:40:00,7500.5,7500.7,7500.0,7500.2,7501.1,7501.3,7500.6,7500.8,44
2026-07-03 07:41:00,7500.4,7500.4,7499.5,7499.9,7501.0,7501.0,7500.1,7500.5,50
2026-07-03 07:42:00,7499.8,7499.8,7498.6,7499.3,7500.4,7500.4,7499.2,7499.9,53
2026-07-03 07:43:00,7499.5,7499.5,7498.4,7498.9,7500.1,7500.1,7499.0,7499.5,36
2026-07-03 07:44:00,7498.8,7498.9,7498.4,7498.7,7499.4,7499.5,7499.0,7499.3,46
2026-07-03 07:45:00,7498.8,7499.7,7498.7,7498.9,7499.4,7500.3,7499.3,7499.5,66
2026-07-03 07:46:00,7498.8,7498.9,7498.4,7498.8,7499.4,7499.5,7499.0,7499.4,53
2026-07-03 07:47:00,7498.9,7498.9,7498.0,7498.4,7499.5,7499.5,7498.6,7499.0,43
2026-07-03 07:48:00,7498.2,7499.0,7497.9,7498.7,7498.8,7499.6,7498.5,7499.3,47
2026-07-03 07:49:00,7499.0,7499.9,7498.6,7499.9,7499.6,7500.5,7499.2,7500.5,39
2026-07-03 07:50:00,7500.2,7501.4,7500.1,7500.1,7500.8,7502.0,7500.7,7500.7,28
2026-07-03 07:51:00,7499.6,7500.1,7499.1,7499.9,7500.2,7500.7,7499.7,7500.5,29
2026-07-03 07:52:00,7500.0,7500.1,7499.6,7499.9,7500.6,7500.7,7500.2,7500.5,47
2026-07-03 07:53:00,7500.0,7500.9,7499.6,7499.9,7500.6,7501.5,7500.2,7500.5,32
2026-07-03 07:54:00,7500.0,7500.0,7499.4,7499.6,7500.6,7500.6,7500.0,7500.2,30
2026-07-03 07:55:00,7499.4,7499.6,7498.6,7499.5,7500.0,7500.2,7499.2,7500.1,40
2026-07-03 07:56:00,7499.6,7500.3,7499.5,7500.3,7500.2,7500.9,7500.1,7500.9,29
2026-07-03 07:57:00,7500.2,7500.9,7500.0,7500.2,7500.8,7501.5,7500.6,7500.8,29
2026-07-03 07:58:00,7500.4,7501.4,7500.4,7500.9,7501.0,7502.0,7501.0,7501.5,22
2026-07-03 07:59:00,7501.1,7501.4,7500.7,7501.1,7501.7,7502.0,7501.3,7501.7,41
2026-07-03 08:00:00,7501.3,7502.8,7501.0,7502.2,7501.9,7503.4,7501.6,7502.8,58
2026-07-03 08:01:00,7502.4,7502.7,7501.0,7502.1,7503.0,7503.3,7501.6,7502.7,53
2026-07-03 08:02:00,7502.2,7503.3,7502.1,7503.2,7502.8,7503.9,7502.7,7503.8,35
2026-07-03 08:03:00,7502.9,7505.0,7502.9,7504.9,7503.5,7505.6,7503.5,7505.5,61
2026-07-03 08:04:00,7504.7,7505.1,7504.2,7504.2,7505.3,7505.7,7504.8,7504.8,49
2026-07-03 08:05:00,7504.4,7506.5,7504.3,7506.2,7505.0,7507.1,7504.9,7506.8,56
2026-07-03 08:06:00,7506.0,7507.4,7506.0,7506.7,7506.6,7508.0,7506.6,7507.3,58
2026-07-03 08:07:00,7506.5,7506.7,7505.9,7506.4,7507.1,7507.3,7506.5,7507.0,36
2026-07-03 08:08:00,7506.3,7508.0,7506.3,7507.5,7506.9,7508.6,7506.9,7508.1,47
2026-07-03 08:09:00,7507.2,7507.6,7506.7,7506.9,7507.8,7508.2,7507.3,7507.5,28
2026-07-03 08:10:00,7507.2,7507.4,7506.6,7506.9,7507.8,7508.0,7507.2,7507.5,50
2026-07-03 08:11:00,7506.6,7507.8,7506.5,7507.8,7507.2,7508.4,7507.1,7508.4,35
2026-07-03 08:12:00,7508.0,7508.1,7506.2,7506.2,7508.6,7508.7,7506.8,7506.8,29
2026-07-03 08:13:00,7506.3,7506.5,7505.9,7506.5,7506.9,7507.1,7506.5,7507.1,39
2026-07-03 08:14:00,7506.0,7506.4,7505.7,7505.9,7506.6,7507.0,7506.3,7506.5,25
2026-07-03 08:15:00,7505.6,7506.4,7505.6,7505.9,7506.2,7507.0,7506.2,7506.5,31
2026-07-03 08:16:00,7506.0,7506.0,7505.2,7505.5,7506.6,7506.6,7505.8,7506.1,25
2026-07-03 08:17:00,7505.6,7506.0,7505.2,7505.7,7506.2,7506.6,7505.8,7506.3,21
2026-07-03 08:18:00,7505.5,7505.8,7504.9,7505.3,7506.1,7506.4,7505.5,7505.9,38
2026-07-03 08:19:00,7505.1,7505.7,7505.1,7505.7,7505.7,7506.3,7505.7,7506.3,11
2026-07-03 08:20:00,7505.8,7505.8,7505.2,7505.2,7506.4,7506.4,7505.8,7505.8,25
2026-07-03 08:21:00,7505.5,7505.5,7504.7,7505.0,7506.1,7506.1,7505.3,7505.6,21
2026-07-03 08:22:00,7504.7,7504.9,7504.6,7504.6,7505.3,7505.5,7505.2,7505.2,15
2026-07-03 08:23:00,7504.4,7504.5,7503.8,7504.5,7505.0,7505.1,7504.4,7505.1,31
2026-07-03 08:24:00,7504.4,7504.4,7502.9,7503.1,7505.0,7505.0,7503.5,7503.7,30
2026-07-03 08:25:00,7503.4,7503.7,7503.1,7503.5,7504.0,7504.3,7503.7,7504.1,26
2026-07-03 08:26:00,7503.4,7504.0,7503.3,7503.9,7504.0,7504.6,7503.9,7504.5,27
2026-07-03 08:27:00,7504.0,7504.3,7503.6,7504.2,7504.6,7504.9,7504.2,7504.8,44
2026-07-03 08:28:00,7504.0,7504.9,7504.0,7504.3,7504.6,7505.5,7504.6,7504.9,34
2026-07-03 08:29:00,7504.1,7505.0,7503.5,7505.0,7504.7,7505.6,7504.1,7505.6,53
2026-07-03 08:30:00,7505.2,7505.7,7504.6,7505.1,7505.8,7506.3,7505.2,7505.7,49
2026-07-03 08:31:00,7505.0,7505.3,7504.6,7504.9,7505.6,7505.9,7505.2,7505.5,40
2026-07-03 08:32:00,7504.8,7506.7,7504.8,7506.7,7505.4,7507.3,7505.4,7507.3,38
2026-07-03 08:33:00,7506.6,7507.3,7505.8,7507.3,7507.2,7507.9,7506.4,7507.9,32
2026-07-03 08:34:00,7507.2,7509.0,7506.5,7508.4,7507.8,7509.6,7507.1,7509.0,39
2026-07-03 08:35:00,7508.3,7509.3,7508.0,7508.7,7508.9,7509.9,7508.6,7509.3,43
2026-07-03 08:36:00,7508.6,7508.9,7508.2,7508.7,7509.2,7509.5,7508.8,7509.3,30
2026-07-03 08:37:00,7508.4,7509.4,7508.2,7508.9,7509.0,7510.0,7508.8,7509.5,20
